year,level_1,value
1961,All Items,24.401
1961,All Items Less Imputed Rentals,na
1961,All Items Less Accommodation,na
1962,All Items,24.513
1962,All Items Less Imputed Rentals,na
1962,All Items Less Accommodation,na
1963,All Items,25.033
1963,All Items Less Imputed Rentals,na
1963,All Items Less Accommodation,na
1964,All Items,25.448
1964,All Items Less Imputed Rentals,na
1964,All Items Less Accommodation,na
1965,All Items,25.513
1965,All Items Less Imputed Rentals,na
1965,All Items Less Accommodation,na
1966,All Items,26.028
1966,All Items Less Imputed Rentals,na
1966,All Items Less Accommodation,na
1967,All Items,26.874
1967,All Items Less Imputed Rentals,na
1967,All Items Less Accommodation,na
1968,All Items,27.058
1968,All Items Less Imputed Rentals,na
1968,All Items Less Accommodation,na
1969,All Items,26.989
1969,All Items Less Imputed Rentals,na
1969,All Items Less Accommodation,na
1970,All Items,27.079
1970,All Items Less Imputed Rentals,na
1970,All Items Less Accommodation,na
1971,All Items,27.589
1971,All Items Less Imputed Rentals,na
1971,All Items Less Accommodation,na
1972,All Items,28.18
1972,All Items Less Imputed Rentals,na
1972,All Items Less Accommodation,na
1973,All Items,33.708
1973,All Items Less Imputed Rentals,na
1973,All Items Less Accommodation,na
1974,All Items,41.247
1974,All Items Less Imputed Rentals,na
1974,All Items Less Accommodation,na
1975,All Items,42.311
1975,All Items Less Imputed Rentals,na
1975,All Items Less Accommodation,na
1976,All Items,41.508
1976,All Items Less Imputed Rentals,na
1976,All Items Less Accommodation,na
1977,All Items,42.831
1977,All Items Less Imputed Rentals,na
1977,All Items Less Accommodation,na
1978,All Items,44.573
1978,All Items Less Imputed Rentals,na
1978,All Items Less Accommodation,na
1979,All Items,46.358
1979,All Items Less Imputed Rentals,na
1979,All Items Less Accommodation,na
1980,All Items,50.317
1980,All Items Less Imputed Rentals,na
1980,All Items Less Accommodation,na
1981,All Items,54.437
1981,All Items Less Imputed Rentals,na
1981,All Items Less Accommodation,na
1982,All Items,56.57
1982,All Items Less Imputed Rentals,na
1982,All Items Less Accommodation,na
1983,All Items,57.157
1983,All Items Less Imputed Rentals,na
1983,All Items Less Accommodation,na
1984,All Items,58.645
1984,All Items Less Imputed Rentals,na
1984,All Items Less Accommodation,na
1985,All Items,58.933
1985,All Items Less Imputed Rentals,na
1985,All Items Less Accommodation,na
1986,All Items,58.12
1986,All Items Less Imputed Rentals,na
1986,All Items Less Accommodation,na
1987,All Items,58.401
1987,All Items Less Imputed Rentals,na
1987,All Items Less Accommodation,na
1988,All Items,59.29
1988,All Items Less Imputed Rentals,na
1988,All Items Less Accommodation,na
1989,All Items,60.65
1989,All Items Less Imputed Rentals,na
1989,All Items Less Accommodation,na
1990,All Items,62.743
1990,All Items Less Imputed Rentals,na
1990,All Items Less Accommodation,na
1991,All Items,64.901
1991,All Items Less Imputed Rentals,na
1991,All Items Less Accommodation,na
1992,All Items,66.357
1992,All Items Less Imputed Rentals,na
1992,All Items Less Accommodation,na
1993,All Items,67.878
1993,All Items Less Imputed Rentals,na
1993,All Items Less Accommodation,na
1994,All Items,69.978
1994,All Items Less Imputed Rentals,na
1994,All Items Less Accommodation,na
1995,All Items,71.185
1995,All Items Less Imputed Rentals,na
1995,All Items Less Accommodation,na
1996,All Items,72.167
1996,All Items Less Imputed Rentals,na
1996,All Items Less Accommodation,na
1997,All Items,73.627
1997,All Items Less Imputed Rentals,na
1997,All Items Less Accommodation,na
1998,All Items,73.428
1998,All Items Less Imputed Rentals,na
1998,All Items Less Accommodation,na
1999,All Items,73.445
1999,All Items Less Imputed Rentals,na
1999,All Items Less Accommodation,na
2000,All Items,74.435
2000,All Items Less Imputed Rentals,na
2000,All Items Less Accommodation,73.741
2001,All Items,75.19
2001,All Items Less Imputed Rentals,na
2001,All Items Less Accommodation,74.531
2002,All Items,74.896
2002,All Items Less Imputed Rentals,na
2002,All Items Less Accommodation,74.29
2003,All Items,75.261
2003,All Items Less Imputed Rentals,na
2003,All Items Less Accommodation,74.854
2004,All Items,76.518
2004,All Items Less Imputed Rentals,na
2004,All Items Less Accommodation,76.378
2005,All Items,76.877
2005,All Items Less Imputed Rentals,na
2005,All Items Less Accommodation,76.803
2006,All Items,77.617
2006,All Items Less Imputed Rentals,na
2006,All Items Less Accommodation,77.572
2007,All Items,79.251
2007,All Items Less Imputed Rentals,na
2007,All Items Less Accommodation,79.332
2008,All Items,84.504
2008,All Items Less Imputed Rentals,83.746
2008,All Items Less Accommodation,83.623
2009,All Items,85.008
2009,All Items Less Imputed Rentals,83.387
2009,All Items Less Accommodation,83.176
2010,All Items,87.408
2010,All Items Less Imputed Rentals,86.101
2010,All Items Less Accommodation,85.923
2011,All Items,91.995
2011,All Items Less Imputed Rentals,89.73
2011,All Items Less Accommodation,89.561
2012,All Items,96.205
2012,All Items Less Imputed Rentals,92.995
2012,All Items Less Accommodation,92.662
2013,All Items,98.474
2013,All Items Less Imputed Rentals,94.717
2013,All Items Less Accommodation,94.421
2014,All Items,99.483
2014,All Items Less Imputed Rentals,95.875
2014,All Items Less Accommodation,95.566
2015,All Items,98.963
2015,All Items Less Imputed Rentals,95.944
2015,All Items Less Accommodation,95.658
2016,All Items,98.436
2016,All Items Less Imputed Rentals,96.202
2016,All Items Less Accommodation,95.971
2017,All Items,99.004
2017,All Items Less Imputed Rentals,97.85
2017,All Items Less Accommodation,97.742
2018,All Items,99.438
2018,All Items Less Imputed Rentals,99.098
2018,All Items Less Accommodation,99.067
2019,All Items,100
2019,All Items Less Imputed Rentals,100
2019,All Items Less Accommodation,100
2020,All Items,99.818
2020,All Items Less Imputed Rentals,99.683
2020,All Items Less Accommodation,99.657
