year,level_1,level_2,value
1993,All Items,Food,60.885
1993,All Items,Food Excl Food Serving Services,59.462
1993,All Items,Food Serving Services,61.672
1993,All Items,Clothing & Footwear,91.231
1993,All Items,Housing & Utilities,64.56
1993,All Items,Household Durables & Services,80.094
1993,All Items,Health Care,53.898
1993,All Items,Transport,71.245
1993,All Items,Communication,124.695
1993,All Items,Recreation & Culture,88.147
1993,All Items,Education,42.896
1993,All Items,Miscellaneous Goods & Services,62.43
1994,All Items,Food,63.04
1994,All Items,Food Excl Food Serving Services,61.333
1994,All Items,Food Serving Services,64.088
1994,All Items,Clothing & Footwear,93.357
1994,All Items,Housing & Utilities,65.264
1994,All Items,Household Durables & Services,80.838
1994,All Items,Health Care,55.38
1994,All Items,Transport,73.8
1994,All Items,Communication,125.043
1994,All Items,Recreation & Culture,89.414
1994,All Items,Education,44.391
1994,All Items,Miscellaneous Goods & Services,64.323
1995,All Items,Food,64.474
1995,All Items,Food Excl Food Serving Services,62.273
1995,All Items,Food Serving Services,66.003
1995,All Items,Clothing & Footwear,94.764
1995,All Items,Housing & Utilities,65.886
1995,All Items,Household Durables & Services,84.321
1995,All Items,Health Care,56.165
1995,All Items,Transport,75.286
1995,All Items,Communication,122.419
1995,All Items,Recreation & Culture,90.412
1995,All Items,Education,46.238
1995,All Items,Miscellaneous Goods & Services,65.343
1996,All Items,Food,65.864
1996,All Items,Food Excl Food Serving Services,63.321
1996,All Items,Food Serving Services,67.719
1996,All Items,Clothing & Footwear,95.295
1996,All Items,Housing & Utilities,66.465
1996,All Items,Household Durables & Services,84.835
1996,All Items,Health Care,57.242
1996,All Items,Transport,76.24
1996,All Items,Communication,121.693
1996,All Items,Recreation & Culture,91.494
1996,All Items,Education,48.271
1996,All Items,Miscellaneous Goods & Services,66.412
1997,All Items,Food,67.211
1997,All Items,Food Excl Food Serving Services,64.879
1997,All Items,Food Serving Services,68.84
1997,All Items,Clothing & Footwear,96.065
1997,All Items,Housing & Utilities,67.921
1997,All Items,Household Durables & Services,84.706
1997,All Items,Health Care,59.22
1997,All Items,Transport,78.768
1997,All Items,Communication,119.182
1997,All Items,Recreation & Culture,90.575
1997,All Items,Education,49.592
1997,All Items,Miscellaneous Goods & Services,67.47
1998,All Items,Food,67.352
1998,All Items,Food Excl Food Serving Services,64.218
1998,All Items,Food Serving Services,69.759
1998,All Items,Clothing & Footwear,94.79
1998,All Items,Housing & Utilities,69.494
1998,All Items,Household Durables & Services,85.078
1998,All Items,Health Care,61.509
1998,All Items,Transport,77.075
1998,All Items,Communication,115.143
1998,All Items,Recreation & Culture,87.404
1998,All Items,Education,51.942
1998,All Items,Miscellaneous Goods & Services,68.775
1999,All Items,Food,67.919
1999,All Items,Food Excl Food Serving Services,65.015
1999,All Items,Food Serving Services,70.141
1999,All Items,Clothing & Footwear,92.919
1999,All Items,Housing & Utilities,69.326
1999,All Items,Household Durables & Services,84.947
1999,All Items,Health Care,61.447
1999,All Items,Transport,78.009
1999,All Items,Communication,113.757
1999,All Items,Recreation & Culture,86.613
1999,All Items,Education,54.143
1999,All Items,Miscellaneous Goods & Services,70.031
2000,All Items,Food,68.26
2000,All Items,Food Excl Food Serving Services,65.333
2000,All Items,Food Serving Services,70.499
2000,All Items,Clothing & Footwear,92.046
2000,All Items,Housing & Utilities,71.791
2000,All Items,Household Durables & Services,84.386
2000,All Items,Health Care,62.266
