half_year,level_1,level_2,value
1993-H1,All Items,Food,60.796
1993-H1,All Items,Food Excl Food Serving Services,59.521
1993-H1,All Items,Food Serving Services,61.434
1993-H1,All Items,Clothing & Footwear,91.01
1993-H1,All Items,Housing & Utilities,64.287
1993-H1,All Items,Household Durables & Services,79.96
1993-H1,All Items,Health Care,53.19
1993-H1,All Items,Transport,70.933
1993-H1,All Items,Communication,124.77
1993-H1,All Items,Recreation & Culture,87.817
1993-H1,All Items,Education,42.5
1993-H1,All Items,Miscellaneous Goods & Services,61.884
1993-H2,All Items,Food,60.975
1993-H2,All Items,Food Excl Food Serving Services,59.402
1993-H2,All Items,Food Serving Services,61.91
1993-H2,All Items,Clothing & Footwear,91.453
1993-H2,All Items,Housing & Utilities,64.832
1993-H2,All Items,Household Durables & Services,80.228
1993-H2,All Items,Health Care,54.607
1993-H2,All Items,Transport,71.558
1993-H2,All Items,Communication,124.619
1993-H2,All Items,Recreation & Culture,88.478
1993-H2,All Items,Education,43.293
1993-H2,All Items,Miscellaneous Goods & Services,62.975
1994-H1,All Items,Food,62.532
1994-H1,All Items,Food Excl Food Serving Services,60.946
1994-H1,All Items,Food Serving Services,63.465
1994-H1,All Items,Clothing & Footwear,92.643
1994-H1,All Items,Housing & Utilities,65.078
1994-H1,All Items,Household Durables & Services,80.594
1994-H1,All Items,Health Care,55.15
1994-H1,All Items,Transport,72.774
1994-H1,All Items,Communication,125.468
1994-H1,All Items,Recreation & Culture,89.382
1994-H1,All Items,Education,43.969
1994-H1,All Items,Miscellaneous Goods & Services,63.919
1994-H2,All Items,Food,63.548
1994-H2,All Items,Food Excl Food Serving Services,61.721
1994-H2,All Items,Food Serving Services,64.711
1994-H2,All Items,Clothing & Footwear,94.071
1994-H2,All Items,Housing & Utilities,65.45
1994-H2,All Items,Household Durables & Services,81.082
1994-H2,All Items,Health Care,55.61
1994-H2,All Items,Transport,74.826
1994-H2,All Items,Communication,124.619
1994-H2,All Items,Recreation & Culture,89.445
1994-H2,All Items,Education,44.812
1994-H2,All Items,Miscellaneous Goods & Services,64.727
1995-H1,All Items,Food,64.314
1995-H1,All Items,Food Excl Food Serving Services,62.349
1995-H1,All Items,Food Serving Services,65.608
1995-H1,All Items,Clothing & Footwear,95.009
1995-H1,All Items,Housing & Utilities,65.728
1995-H1,All Items,Household Durables & Services,83.48
1995-H1,All Items,Health Care,55.957
1995-H1,All Items,Transport,74.926
1995-H1,All Items,Communication,122.708
1995-H1,All Items,Recreation & Culture,90.66
1995-H1,All Items,Education,45.719
1995-H1,All Items,Miscellaneous Goods & Services,65.216
1995-H2,All Items,Food,64.635
1995-H2,All Items,Food Excl Food Serving Services,62.198
1995-H2,All Items,Food Serving Services,66.397
1995-H2,All Items,Clothing & Footwear,94.52
1995-H2,All Items,Housing & Utilities,66.044
1995-H2,All Items,Household Durables & Services,85.161
1995-H2,All Items,Health Care,56.374
1995-H2,All Items,Transport,75.646
1995-H2,All Items,Communication,122.13
1995-H2,All Items,Recreation & Culture,90.164
1995-H2,All Items,Education,46.758
1995-H2,All Items,Miscellaneous Goods & Services,65.471
1996-H1,All Items,Food,65.416
1996-H1,All Items,Food Excl Food Serving Services,62.86
1996-H1,All Items,Food Serving Services,67.288
1996-H1,All Items,Clothing & Footwear,95.739
1996-H1,All Items,Housing & Utilities,66.355
1996-H1,All Items,Household Durables & Services,84.868
1996-H1,All Items,Health Care,56.907
1996-H1,All Items,Transport,75.956
1996-H1,All Items,Communication,121.848
1996-H1,All Items,Recreation & Culture,91.323
