month,level_1,level_2,level_3,level_4,value
1991-01,M3,M2,M1,Currency In Active Circulation,7064.1
1991-01,M3,M2,M1,Demand Deposits,7569.1
1991-01,M3,M2,Quasi-money,Fixed Deposits,36512.3
1991-01,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,1110.3
1991-01,M3,M2,Quasi-money,Savings & Other Deposits,9502
1991-02,M3,M2,M1,Currency In Active Circulation,6947.5
1991-02,M3,M2,M1,Demand Deposits,7775.6
1991-02,M3,M2,Quasi-money,Fixed Deposits,36395.3
1991-02,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,1085.8
1991-02,M3,M2,Quasi-money,Savings & Other Deposits,9710.5
1991-03,M3,M2,M1,Currency In Active Circulation,7066.3
1991-03,M3,M2,M1,Demand Deposits,7714.8
1991-03,M3,M2,Quasi-money,Fixed Deposits,36748.3
1991-03,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,1117.6
1991-03,M3,M2,Quasi-money,Savings & Other Deposits,9980.3
1991-04,M3,M2,M1,Currency In Active Circulation,7058
1991-04,M3,M2,M1,Demand Deposits,7633
1991-04,M3,M2,Quasi-money,Fixed Deposits,37228.8
1991-04,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,1149.1
1991-04,M3,M2,Quasi-money,Savings & Other Deposits,10084.7
1991-05,M3,M2,M1,Currency In Active Circulation,7157.3
1991-05,M3,M2,M1,Demand Deposits,7629.4
1991-05,M3,M2,Quasi-money,Fixed Deposits,37973.7
1991-05,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,1166.4
1991-05,M3,M2,Quasi-money,Savings & Other Deposits,10194
1991-06,M3,M2,M1,Currency In Active Circulation,7179.5
1991-06,M3,M2,M1,Demand Deposits,7561.9
1991-06,M3,M2,Quasi-money,Fixed Deposits,39061.2
1991-06,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,1159.9
1991-06,M3,M2,Quasi-money,Savings & Other Deposits,10261.8
1991-07,M3,M2,M1,Currency In Active Circulation,7096.4
1991-07,M3,M2,M1,Demand Deposits,9142.9
1991-07,M3,M2,Quasi-money,Fixed Deposits,39899.9
1991-07,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,1175.1
1991-07,M3,M2,Quasi-money,Savings & Other Deposits,10123.1
1991-08,M3,M2,M1,Currency In Active Circulation,7191.8
1991-08,M3,M2,M1,Demand Deposits,7651
1991-08,M3,M2,Quasi-money,Fixed Deposits,40525.5
1991-08,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,1175.1
1991-08,M3,M2,Quasi-money,Savings & Other Deposits,10269.3
1991-09,M3,M2,M1,Currency In Active Circulation,7179.9
1991-09,M3,M2,M1,Demand Deposits,7853.6
1991-09,M3,M2,Quasi-money,Fixed Deposits,41201.3
1991-09,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,1095.8
1991-09,M3,M2,Quasi-money,Savings & Other Deposits,10352.8
1991-10,M3,M2,M1,Currency In Active Circulation,7211
1991-10,M3,M2,M1,Demand Deposits,7802.9
1991-10,M3,M2,Quasi-money,Fixed Deposits,40764.6
1991-10,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,1097.3
1991-10,M3,M2,Quasi-money,Savings & Other Deposits,10476.2
1991-11,M3,M2,M1,Currency In Active Circulation,7322
1991-11,M3,M2,M1,Demand Deposits,7989.2
1991-11,M3,M2,Quasi-money,Fixed Deposits,41339.7
1991-11,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,919.7
1991-11,M3,M2,Quasi-money,Savings & Other Deposits,10870.3
1991-12,M3,M2,M1,Currency In Active Circulation,7370.5
1991-12,M3,M2,M1,Demand Deposits,8621.8
1991-12,M3,M2,Quasi-money,Fixed Deposits,40852
1991-12,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,921.8
1991-12,M3,M2,Quasi-money,Savings & Other Deposits,11187.9
1992-01,M3,M2,M1,Currency In Active Circulation,7613.3
1992-01,M3,M2,M1,Demand Deposits,8525.5
1992-01,M3,M2,Quasi-money,Fixed Deposits,40492
1992-01,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,886.9
1992-01,M3,M2,Quasi-money,Savings & Other Deposits,11377.2
1992-02,M3,M2,M1,Currency In Active Circulation,7635.3
1992-02,M3,M2,M1,Demand Deposits,8361.4
1992-02,M3,M2,Quasi-money,Fixed Deposits,41048.9
1992-02,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,891.4
1992-02,M3,M2,Quasi-money,Savings & Other Deposits,11482.1
1992-03,M3,M2,M1,Currency In Active Circulation,7533.9
1992-03,M3,M2,M1,Demand Deposits,9027.8
1992-03,M3,M2,Quasi-money,Fixed Deposits,42280.9
1992-03,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,950.3
1992-03,M3,M2,Quasi-money,Savings & Other Deposits,11528
1992-04,M3,M2,M1,Currency In Active Circulation,7676.2
1992-04,M3,M2,M1,Demand Deposits,8661.2
1992-04,M3,M2,Quasi-money,Fixed Deposits,42922.8
1992-04,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,956.3
1992-04,M3,M2,Quasi-money,Savings & Other Deposits,11699.2
1992-05,M3,M2,M1,Currency In Active Circulation,7725.9
1992-05,M3,M2,M1,Demand Deposits,9110.5
1992-05,M3,M2,Quasi-money,Fixed Deposits,43321.8
1992-05,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,765.5
1992-05,M3,M2,Quasi-money,Savings & Other Deposits,11764.7
1992-06,M3,M2,M1,Currency In Active Circulation,7755.6
1992-06,M3,M2,M1,Demand Deposits,9400.5
1992-06,M3,M2,Quasi-money,Fixed Deposits,43384.2
1992-06,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,728.2
1992-06,M3,M2,Quasi-money,Savings & Other Deposits,12044.9
1992-07,M3,M2,M1,Currency In Active Circulation,7824
1992-07,M3,M2,M1,Demand Deposits,9693.9
1992-07,M3,M2,Quasi-money,Fixed Deposits,43630.3
1992-07,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,790.4
1992-07,M3,M2,Quasi-money,Savings & Other Deposits,12510.8
1992-08,M3,M2,M1,Currency In Active Circulation,7869.2
1992-08,M3,M2,M1,Demand Deposits,9619.1
1992-08,M3,M2,Quasi-money,Fixed Deposits,44175
1992-08,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,704.4
1992-08,M3,M2,Quasi-money,Savings & Other Deposits,12510.3
1992-09,M3,M2,M1,Currency In Active Circulation,7918.9
1992-09,M3,M2,M1,Demand Deposits,10292.3
1992-09,M3,M2,Quasi-money,Fixed Deposits,43577.9
